year,currency,month,rate,source
2025,KRW,1,1.0,2025 월평균(ECB 교차)
2025,USD,1,1452.2271,2025 월평균(ECB 교차)
2025,EUR,1,1503.5964,2025 월평균(ECB 교차)
2025,SGD,1,1066.9789,2025 월평균(ECB 교차)
2025,HKD,1,186.5379,2025 월평균(ECB 교차)
2025,JPY,1,9.286,2025 월평균(ECB 교차)
2025,AUD,1,904.3842,2025 월평균(ECB 교차)
2025,CAD,1,1008.8758,2025 월평균(ECB 교차)
2025,KRW,2,1.0,2025 월평균(ECB 교차)
2025,USD,2,1445.3964,2025 월평균(ECB 교차)
2025,EUR,2,1505.019,2025 월평균(ECB 교차)
2025,SGD,2,1073.3001,2025 월평균(ECB 교차)
2025,HKD,2,185.7327,2025 월평균(ECB 교차)
2025,JPY,2,9.5202,2025 월평균(ECB 교차)
2025,AUD,2,910.582,2025 월평균(ECB 교차)
2025,CAD,2,1010.5309,2025 월평균(ECB 교차)
2025,KRW,3,1.0,2025 월평균(ECB 교차)
2025,USD,3,1458.7575,2025 월평균(ECB 교차)
2025,EUR,3,1576.4514,2025 월평균(ECB 교차)
2025,SGD,3,1091.657,2025 월평균(ECB 교차)
2025,HKD,3,187.6734,2025 월평균(ECB 교차)
2025,JPY,3,9.7815,2025 월평균(ECB 교차)
2025,AUD,3,918.7621,2025 월평균(ECB 교차)
2025,CAD,3,1015.8763,2025 월평균(ECB 교차)
2025,KRW,4,1.0,2025 월평균(ECB 교차)
2025,USD,4,1442.3192,2025 월평균(ECB 교차)
2025,EUR,4,1617.4095,2025 월평균(ECB 교차)
2025,SGD,4,1088.9996,2025 월평균(ECB 교차)
2025,HKD,4,185.7568,2025 월평균(ECB 교차)
2025,JPY,4,10.0044,2025 월평균(ECB 교차)
2025,AUD,4,906.4418,2025 월평균(ECB 교차)
2025,CAD,4,1030.1282,2025 월평균(ECB 교차)
2025,KRW,5,1.0,2025 월평균(ECB 교차)
2025,USD,5,1388.6602,2025 월평균(ECB 교차)
2025,EUR,5,1566.1376,2025 월평균(ECB 교차)
2025,SGD,5,1073.5023,2025 월평균(ECB 교차)
2025,HKD,5,177.9264,2025 월평균(ECB 교차)
2025,JPY,5,9.5997,2025 월평균(ECB 교차)
2025,AUD,5,893.8389,2025 월평균(ECB 교차)
2025,CAD,5,1000.9858,2025 월평균(ECB 교차)
2025,KRW,6,1.0,2025 월평균(ECB 교차)
2025,USD,6,1366.2211,2025 월평균(ECB 교차)
2025,EUR,6,1573.3662,2025 월평균(ECB 교차)
2025,SGD,6,1064.3866,2025 월평균(ECB 교차)
2025,HKD,6,174.0701,2025 월평균(ECB 교차)
2025,JPY,6,9.4483,2025 월평균(ECB 교차)
2025,AUD,6,887.761,2025 월평균(ECB 교차)
2025,CAD,6,998.7211,2025 월평균(ECB 교차)
2025,KRW,7,1.0,2025 월평균(ECB 교차)
2025,USD,7,1377.8909,2025 월평균(ECB 교차)
2025,EUR,7,1608.9452,2025 월평균(ECB 교차)
2025,SGD,7,1075.4919,2025 월평균(ECB 교차)
2025,HKD,7,175.532,2025 월평균(ECB 교차)
2025,JPY,7,9.3799,2025 월평균(ECB 교차)
2025,AUD,7,900.7555,2025 월평균(ECB 교차)
2025,CAD,7,1006.7315,2025 월평균(ECB 교차)
2025,KRW,8,1.0,2025 월평균(ECB 교차)
2025,USD,8,1390.3316,2025 월평균(ECB 교차)
2025,EUR,8,1617.1543,2025 월평균(ECB 교차)
2025,SGD,8,1081.4364,2025 월평균(ECB 교차)
2025,HKD,8,177.641,2025 월평균(ECB 교차)
2025,JPY,8,9.4136,2025 월평균(ECB 교차)
2025,AUD,8,902.4203,2025 월평균(ECB 교차)
2025,CAD,8,1007.1365,2025 월평균(ECB 교차)
2025,KRW,9,1.0,2025 월평균(ECB 교차)
2025,USD,9,1393.0731,2025 월평균(ECB 교차)
2025,EUR,9,1634.385,2025 월평균(ECB 교차)
2025,SGD,9,1084.1365,2025 월평균(ECB 교차)
2025,HKD,9,178.9311,2025 월평균(ECB 교차)
2025,JPY,9,9.4174,2025 월평균(ECB 교차)
2025,AUD,9,918.4565,2025 월평균(ECB 교차)
2025,CAD,9,1007.232,2025 월평균(ECB 교차)
2025,KRW,10,1.0,2025 월평균(ECB 교차)
2025,USD,10,1423.7806,2025 월평균(ECB 교차)
2025,EUR,10,1655.9187,2025 월평균(ECB 교차)
2025,SGD,10,1098.5359,2025 월평균(ECB 교차)
2025,HKD,10,183.1247,2025 월평균(ECB 교차)
2025,JPY,10,9.4005,2025 월평균(ECB 교차)
2025,AUD,10,931.3105,2025 월평균(ECB 교차)
2025,CAD,10,1017.1328,2025 월평균(ECB 교차)
2025,KRW,11,1.0,2025 월평균(ECB 교차)
2025,USD,11,1459.8722,2025 월평균(ECB 교차)
2025,EUR,11,1687.6415,2025 월평균(ECB 교차)
2025,SGD,11,1120.7868,2025 월평균(ECB 교차)
2025,HKD,11,187.7276,2025 월평균(ECB 교차)
2025,JPY,11,9.4116,2025 월평균(ECB 교차)
2025,AUD,11,949.623,2025 월평균(ECB 교차)
2025,CAD,11,1038.6637,2025 월평균(ECB 교차)
2025,KRW,12,1.0,2025 월평균(ECB 교차)
2025,USD,12,1466.8021,2025 월평균(ECB 교차)
2025,EUR,12,1717.4367,2025 월평균(ECB 교차)
2025,SGD,12,1135.903,2025 월평균(ECB 교차)
2025,HKD,12,188.493,2025 월평균(ECB 교차)
2025,JPY,12,9.4108,2025 월평균(ECB 교차)
2025,AUD,12,973.9559,2025 월평균(ECB 교차)
2025,CAD,12,1062.2225,2025 월평균(ECB 교차)
2026,KRW,1,1.0,2026 확정 월평균
2026,KRW,2,1.0,2026 확정 월평균
2026,KRW,3,1.0,2026 확정 월평균
2026,KRW,4,1.0,2026 확정 월평균
2026,KRW,5,1.0,2026 확정 월평균
2026,KRW,6,1.0,2026 확정 월평균
2026,KRW,7,1.0,2026 확정 월평균
2026,KRW,8,1.0,2026 확정 월평균
2026,USD,1,1457.21,2026 확정 월평균
2026,USD,2,1448.23,2026 확정 월평균
2026,USD,3,1490.88,2026 확정 월평균
2026,USD,4,1481.35,2026 확정 월평균
2026,USD,5,1490.92,2026 확정 월평균
2026,USD,6,1530.14,2026 확정 월평균
2026,USD,7,1490.85,2026 확정 월평균
2026,USD,8,1402.99,2026 확정 월평균
2026,EUR,1,1710.38,2026 확정 월평균
2026,EUR,2,1712.39,2026 확정 월평균
2026,EUR,3,1723.13,2026 확정 월평균
2026,EUR,4,1734.05,2026 확정 월평균
2026,EUR,5,1740.27,2026 확정 월평균
2026,EUR,6,1762.32,2026 확정 월평균
2026,EUR,7,1702.16,2026 확정 월평균
2026,EUR,8,1626.41,2026 확정 월평균
2026,SGD,1,1138.24,2026 확정 월평균
2026,SGD,2,1143.14,2026 확정 월평균
2026,SGD,3,1165.08,2026 확정 월평균
2026,SGD,4,1161.26,2026 확정 월평균
2026,SGD,5,1168.72,2026 확정 월평균
2026,SGD,6,1188.08,2026 확정 월평균
2026,SGD,7,1154.28,2026 확정 월평균
2026,SGD,8,1099.24,2026 확정 월평균
2026,HKD,1,186.9,2026 확정 월평균
2026,HKD,2,185.28,2026 확정 월평균
2026,HKD,3,190.49,2026 확정 월평균
2026,HKD,4,189.1,2026 확정 월평균
2026,HKD,5,190.34,2026 확정 월평균
2026,HKD,6,195.23,2026 확정 월평균
2026,HKD,7,190.13,2026 확정 월평균
2026,HKD,8,178.89,2026 확정 월평균
2026,JPY,1,9.3,2026 확정 월평균
2026,JPY,2,9.33,2026 확정 월평균
2026,JPY,3,9.4,2026 확정 월평균
2026,JPY,4,9.31,2026 확정 월평균
2026,JPY,5,9.42,2026 확정 월평균
2026,JPY,6,9.52,2026 확정 월평균
2026,JPY,7,9.17,2026 확정 월평균
2026,JPY,8,8.84,2026 확정 월평균
2026,AUD,1,988.54,2026 확정 월평균
2026,AUD,2,1021.53,2026 확정 월평균
2026,AUD,3,1046.29,2026 확정 월평균
2026,AUD,4,1051.67,2026 확정 월평균
2026,AUD,5,1070.44,2026 확정 월평균
2026,AUD,6,1075.26,2026 확정 월평균
2026,AUD,7,1038.12,2026 확정 월평균
2026,AUD,8,996.27,2026 확정 월평균
2026,CAD,1,1057.55,2026 확정 월평균
2026,CAD,2,1060.93,2026 확정 월평균
2026,CAD,3,1087.3,2026 확정 월평균
2026,CAD,4,1077.31,2026 확정 월평균
2026,CAD,5,1085.82,2026 확정 월평균
2026,CAD,6,1090.23,2026 확정 월평균
2026,CAD,7,1055.93,2026 확정 월평균
2026,CAD,8,1008.75,2026 확정 월평균
